Date,Cons,Irradiacao,PV_Out,Surplus
2018-01-09 18:00:00,196.75,0.0,0.0,-196.75
2018-01-09 19:00:00,159.0,0.0,0.0,-159.0
2018-01-09 20:00:00,129.5,0.0,0.0,-129.5
2018-01-09 21:00:00,108.25,0.0,0.0,-108.25
2018-01-09 22:00:00,94.5,0.0,0.0,-94.5
2018-01-09 23:00:00,92.0,0.0,0.0,-92.0
2018-01-10 00:00:00,87.0,0.0,0.0,-87.0
2018-01-10 01:00:00,83.75,0.0,0.0,-83.75
2018-01-10 02:00:00,85.25,0.0,0.0,-85.25
2018-01-10 03:00:00,83.25,0.0,0.0,-83.25
2018-01-10 04:00:00,82.0,0.0,0.0,-82.0
2018-01-10 05:00:00,81.5,0.0,0.0,-81.5
2018-01-10 06:00:00,86.25,0.0,0.0,-86.25
2018-01-10 07:00:00,106.0,0.125,76.89656249999999,-29.103437500000013
2018-01-10 08:00:00,152.5,0.335,206.08278750000002,53.58278750000002
2018-01-10 09:00:00,190.0,0.409,251.6055525,61.60555249999999
2018-01-10 10:00:00,219.0,0.442,271.906245,52.90624500000001
2018-01-10 11:00:00,228.75,0.449,276.2124524999999,47.46245249999993
2018-01-10 12:00:00,232.5,0.429,263.90900249999993,31.40900249999993
2018-01-10 13:00:00,232.25,0.407,250.37520749999996,18.12520749999996
2018-01-10 14:00:00,229.75,0.373,229.4593425,-0.2906575000000089
2018-01-10 15:00:00,230.5,0.242,148.87174499999998,-81.62825500000002
2018-01-10 16:00:00,228.75,0.007,4.306207499999999,-224.4437925
2018-01-10 17:00:00,215.25,0.0,0.0,-215.25
2018-01-10 18:00:00,186.75,0.0,0.0,-186.75
2018-01-10 19:00:00,153.0,0.0,0.0,-153.0
2018-01-10 20:00:00,124.0,0.0,0.0,-124.0
2018-01-10 21:00:00,107.0,0.0,0.0,-107.0
2018-01-10 22:00:00,94.5,0.0,0.0,-94.5
2018-01-10 23:00:00,92.25,0.0,0.0,-92.25
2018-01-11 00:00:00,88.25,0.0,0.0,-88.25
2018-01-11 01:00:00,85.0,0.0,0.0,-85.0
2018-01-11 02:00:00,84.25,0.0,0.0,-84.25
2018-01-11 03:00:00,83.5,0.0,0.0,-83.5
2018-01-11 04:00:00,82.25,0.0,0.0,-82.25
2018-01-11 05:00:00,81.75,0.0,0.0,-81.75
2018-01-11 06:00:00,86.75,0.0,0.0,-86.75
2018-01-11 07:00:00,106.5,0.125,76.89656249999999,-29.603437500000013
